nft-rfc,title,summary,status,category,created, modified,url
1,nft-rfc standard,How to create an nft-rfc proposal,final,meta,21/10/2020,,https://github.com/interNFT/nft-rfc/blob/main/nft-rfc-001_Standard.md
2,Use-cases & Requirements, Working draft to gather & validate requirements, proposal, use-cases, 19/10/2020,,https://github.com/interNFT/use-cases/blob/main/NFT-REC-002-use-cases.md
